"";"id";"name_market";"code_ticker";"code_symbol";"name_company";"code_isin";"date_lastTrade";"flag_active"
"193";196;"Euronext Growth Milan";"VLC.MI";"VLC";"VALICA";"IT0005562514";2023-11-27;TRUE
"194";197;"Euronext Growth Milan";"VLT.MI";"VLT";"VALTECNE";"IT0005532525";2023-11-28;TRUE
"195";198;"Euronext Growth Milan";"VNT.MI";"VNT";"VANTEA SMART";"IT0005433765";2023-12-05;TRUE
"196";199;"Euronext Growth Milan";"VIM.MI";"VIM";"VIMI FASTENERS";"IT0004717200";2023-12-05;TRUE
"197";200;"Euronext Growth Milan";"VE.MI";"VE";"VISIBILIA EDITORE";"IT0005433732";2023-12-05;TRUE
"198";201;"Euronext Growth Milan";"VNE.MI";"VNE";"VNE";"IT0005556110";2023-11-30;TRUE
"199";202;"Euronext Growth Milan";"WAAT26.MI";"WAAT26";"W AATECH 23-26";"IT0005550501";2023-12-05;TRUE
"200";203;"Euronext Growth Milan";"WABC27.MI";"WABC27";"W ABC COMP 22-27";"IT0005515363";2023-10-13;FALSE
"201";204;"Euronext Growth Milan";"WACQ24.MI";"WACQ24";"W ACQUAZZUR 21-24";"IT0005443087";2023-04-12;FALSE
"202";205;"Euronext Growth Milan";"WAGA25.MI";"WAGA25";"W AGATOS 2018-2025";"IT0005322786";2023-09-28;FALSE
"203";206;"Euronext Growth Milan";"WABTG.MI";"WABTG";"W ALFIO BARD 17-27";"IT0005245607";2023-11-29;TRUE
"204";207;"Euronext Growth Milan";"WALFO.MI";"WALFO";"W ALFONSINO 21-24";"IT0005467144";2023-12-05;TRUE
"205";208;"Euronext Growth Milan";"WAGP24.MI";"WAGP24";"W ALTEA G P 22-24";"IT0005472680";2023-12-05;TRUE
"206";209;"Euronext Growth Milan";"WAMB26.MI";"WAMB26";"W AMBROMOBIL 20-26";"IT0005425092";2023-11-28;TRUE
"207";210;"Euronext Growth Milan";"WBELL.MI";"WBELL";"W BELLINI  22-25";"IT0005497158";2023-10-17;FALSE
"208";211;"Euronext Growth Milan";"WCLABO.MI";"WCLABO";"W CLABO 2021-2024";"IT0005457004";2023-11-28;TRUE
"209";212;"Euronext Growth Milan";"WCVG23.MI";"WCVG23";"W CONVERGENZ 20-23";"IT0005426199";2023-12-04;TRUE
"210";213;"Euronext Growth Milan";"WCOP25.MI";"WCOP25";"W COPERNICO 19-25";"IT0005379372";2023-07-25;FALSE
"211";214;"Euronext Growth Milan";"WCUBE.MI";"WCUBE";"W CUBE LABS 2025";"IT0005532608";NA;NA
