Name;ISIN;Symbol;Market;Currency;"Open Price";"High Price";"low Price";"last Price";"last Trade MIC Time";"Time Zone";Volume;Turnover;"Closing Price";"Closing Price DateTime"
"SHEDIR PHARMA G";IT0005379620;SHE;"Euronext Growth Milan";EUR;4.50;4.56;4.50;4.54;"05/12/2023 17:05";CET;1500;6795.00;4.54;05/12/2023
SIAV;IT0005504128;SIAV;"Euronext Growth Milan";EUR;3.20;3.20;3.20;3.20;"05/12/2023 09:53";CET;500;1600.00;3.20;05/12/2023
"SICILY BY CAR";IT0005556581;SBC;"Euronext Growth Milan";EUR;6.50;6.62;6.50;6.62;"05/12/2023 17:35";CET;3529;23206.18;6.62;05/12/2023
"SOC EDIT IL FATTO";IT0005353484;SEIF;"Euronext Growth Milan";EUR;0.30;0.306;0.298;0.30;"05/12/2023 17:25";CET;22000;6604.00;0.298;05/12/2023
SOFTEC;IT0004735327;YSFT;"Euronext Growth Milan";EUR;1.04;1.04;1.02;1.02;"17/11/2023 10:45";CET;1350;1386.00;1.02;05/12/2023
"SOL CAP MANAG SIM";IT0005200248;SCM;"Euronext Growth Milan";EUR;2.62;2.62;2.62;2.62;"04/12/2023 09:37";CET;120;314.40;2.62;05/12/2023
"SOLID WORLD GROUP";IT0005497893;S3D;"Euronext Growth Milan";EUR;3.36;3.48;3.31;3.39;"05/12/2023 17:35";CET;75900;257804.25;3.39;05/12/2023
SOSTRAVEL.COM;IT0005338675;SOS;"Euronext Growth Milan";EUR;1.055;1.055;1.04;1.04;"05/12/2023 17:35";CET;750;787.50;1.04;05/12/2023
SPINDOX;IT0005449522;SPN;"Euronext Growth Milan";EUR;8.65;9.20;8.35;8.70;"05/12/2023 17:35";CET;30200;266750.00;8.70;05/12/2023
STAR7;IT0005466195;STAR7;"Euronext Growth Milan";EUR;6.55;7.00;6.55;6.70;"05/12/2023 17:29";CET;2610;17817.40;6.70;05/12/2023
"SVAS BIOSANA";IT0005469264;SVS;"Euronext Growth Milan";EUR;7.20;7.28;7.20;7.28;"05/12/2023 16:57";CET;565;4091.04;7.28;05/12/2023
"TAKE OFF";IT0005467425;TKF;"Euronext Growth Milan";EUR;0.80;0.835;0.78;0.80;"05/12/2023 17:25";CET;114556;92991.59;0.80;05/12/2023
TALEA;IT0005378333;TALEA;"Euronext Growth Milan";EUR;8.24;8.40;8.08;8.10;"05/12/2023 17:35";CET;5117;42058.78;8.10;05/12/2023
"TECMA SOLUTIONS";IT0005425050;TCM;"Euronext Growth Milan";EUR;3.38;3.50;3.22;3.34;"05/12/2023 17:24";CET;15200;50352.00;3.34;05/12/2023
TELESIA;IT0005240046;TLS;"Euronext Growth Milan";EUR;2.22;2.28;2.22;2.28;"05/12/2023 15:14";CET;1050;2340.00;2.28;05/12/2023
"TENAX INTERNAT";IT0005428898;TNX;"Euronext Growth Milan";EUR;2.64;2.64;2.64;2.64;"05/12/2023 14:54";CET;2800;7392.00;2.64;05/12/2023
"THE LIFEST G";IT0005523797;TLSG;"Euronext Growth Milan";EUR;0.06;0.06;0.06;0.06;"12/06/2023 17:35";CET;147000;8820.00;0.06;05/12/2023
